Pozo,Estado,Acuífero,Elev.Brocal,Latitud,Longitud,año,nivel_piezometrico,precip_mm,temp_C
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2001,,316.65,23.32
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2002,36.65,130.81,23.39
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2003,,377.61,23.54
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2004,,218.6,23.27
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2005,,175.53,23.24
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2006,,197.03,24.06
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2007,,180.56,23.37
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2008,,184.97,23.83
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2009,,254.98,23.9
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2010,,111.93,23.15
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2011,,90.29,23.87
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2012,36.71,348.92,23.82
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2013,,189.53,23.79
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2014,,426.42,24.94
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2015,,270.81,25.04
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2016,,267.72,24.68
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2017,,205.95,24.52
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2018,,308.82,24.61
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2019,,445.63,23.94
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2020,,107.63,24.36
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2021,,342.8,24.35
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2022,,243.31,24.01
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2023,,396.31,24.49
142,Baja California Sur,LA PAZ,29.83,24.084519,-110.325344,2024,,60.41,24.3
